sample_id,task_id,title,variant,label,pred_ai,raw_score,score_ai,threshold,nonempty_lines_n,nonwhitespace_chars_n,code
6_p00167_Bubble_Sort_human,6_p00167_Bubble_Sort,p00167 Bubble Sort,human,0,1,-0.1620534211397171,-0.1620534211397171,-0.18,19,201,"#include <cstdio>

int main(){
	int n,a[100];
	while(scanf(""%d"",&n), n != 0){
		for(int i = 0; i < n; i++){
			scanf(""%d"",&a[i]);
		}
		int c = 0;
		for(int i = 0; i < n; i++){
			for(int j = i + 1; j < n; j++){
				if(a[i] > a[j]){
					c++;
				}
			}
		}
		printf(""%d\n"",c);
	}
	return 0;
}"
2_1320_F._Blocks_and_Sensors_human,2_1320_F._Blocks_and_Sensors,1320_F. Blocks and Sensors,human,0,1,-0.1663055568933487,-0.1663055568933487,-0.18,112,2617,"#include <bits/stdc++.h>
using namespace std;
template <class T>
istream& operator>>(istream& is, vector<T>& v) {
  for (T& x : v) is >> x;
  return is;
}
template <class T>
ostream& operator<<(ostream& os, const vector<T>& v) {
  if (!v.empty()) {
    os << v.front();
    for (int x = 1; x < v.size(); ++x) os << ' ' << v[x];
  }
  return os;
}
void gg() {
  cout << ""-1\n"";
  exit(0);
}
int main() {
  ios::sync_with_stdio(false);
  cin.tie(nullptr);
  int n, m, k;
  cin >> n >> m >> k;
  vector<vector<vector<int>>> ans(n,
                                  vector<vector<int>>(m, vector<int>(k, -1)));
  vector<vector<int>> xp(m, vector<int>(k)), xn(m, vector<int>(k)),
      yp(n, vector<int>(k)), yn(n, vector<int>(k)), zp(n, vector<int>(m)),
      zn(n, vector<int>(m)), pxp(m, vector<int>(k)),
      pxn(m, vector<int>(k, n - 1)), pyp(n, vector<int>(k)),
      pyn(n, vector<int>(k, m - 1)), pzp(n, vector<int>(m)),
      pzn(n, vector<int>(m, k - 1));
  cin >> xp >> xn >> yp >> yn >> zp >> zn;
  queue<tuple<int, int, int>> q;
  for (int x = 0; x < n; ++x)
    for (int y = 0; y < m; ++y)
      for (int z = 0; z < k; ++z)
        if (!(xp[y][z] && xn[y][z] && yp[x][z] && yn[x][z] && zp[x][y] &&
              zn[x][y]))
          ans[x][y][z] = 0;
  function<void(int, int)> exx = [&](int y, int z) {
    while (pxp[y][z] < n && !ans[pxp[y][z]][y][z]) ++pxp[y][z];
    while (pxn[y][z] >= 0 && !ans[pxn[y][z]][y][z]) --pxn[y][z];
    if (pxp[y][z] >= n || pxn[y][z] < 0) gg();
    q.emplace(pxp[y][z], y, z);
    q.emplace(pxn[y][z], y, z);
  };
  function<void(int, int)> exy = [&](int x, int z) {
    while (pyp[x][z] < m && !ans[x][pyp[x][z]][z]) ++pyp[x][z];
    while (pyn[x][z] >= 0 && !ans[x][pyn[x][z]][z]) --pyn[x][z];
    if (pyp[x][z] >= m || pyn[x][z] < 0) gg();
    q.emplace(x, pyp[x][z], z);
    q.emplace(x, pyn[x][z], z);
  };
  function<void(int, int)> exz = [&](int x, int y) {
    while (pzp[x][y] < k && !ans[x][y][pzp[x][y]]) ++pzp[x][y];
    while (pzn[x][y] >= 0 && !ans[x][y][pzn[x][y]]) --pzn[x][y];
    if (pzp[x][y] >= k || pzn[x][y] < 0) gg();
    q.emplace(x, y, pzp[x][y]);
    q.emplace(x, y, pzn[x][y]);
  };
  for (int y = 0; y < m; ++y)
    for (int z = 0; z < k; ++z) {
      if (bool(xp[y][z]) != bool(xn[y][z])) gg();
      if (!xp[y][z]) continue;
      exx(y, z);
    }
  for (int x = 0; x < n; ++x)
    for (int z = 0; z < k; ++z) {
      if (bool(yp[x][z]) != bool(yn[x][z])) gg();
      if (!yp[x][z]) continue;
      exy(x, z);
    }
  for (int x = 0; x < n; ++x)
    for (int y = 0; y < m; ++y) {
      if (bool(zp[x][y]) != bool(zn[x][y])) gg();
      if (!zp[x][y]) continue;
      exz(x, y);
    }
  while (!q.empty()) {
    int x, y, z;
    tie(x, y, z) = q.front();
    q.pop();
    if (ans[x][y][z] == 0) continue;
    vector<int> col;
    if (pxp[y][z] == x) col.push_back(xp[y][z]);
    if (pxn[y][z] == x) col.push_back(xn[y][z]);
    if (pyp[x][z] == y) col.push_back(yp[x][z]);
    if (pyn[x][z] == y) col.push_back(yn[x][z]);
    if (pzp[x][y] == z) col.push_back(zp[x][y]);
    if (pzn[x][y] == z) col.push_back(zn[x][y]);
    if (col.size() == 0) continue;
    col.erase(unique(col.begin(), col.end()), col.end());
    if (col.size() == 1) {
      ans[x][y][z] = col.back();
      continue;
    }
    ans[x][y][z] = 0;
    exx(y, z);
    exy(x, z);
    exz(x, y);
  }
  for (int x = 0; x < n; ++x) {
    for (int y = 0; y < m; ++y) {
      for (int z = 0; z < k; ++z)
        if (ans[x][y][z] == -1) ans[x][y][z] = 0;
      cout << ans[x][y] << '\n';
    }
    cout << '\n';
  }
  return 0;
}"
2_1382_A._Common_Subsequence_human,2_1382_A._Common_Subsequence,1382_A. Common Subsequence,human,0,1,-0.12053047865629196,-0.12053047865629196,-0.18,32,344,"#include <bits/stdc++.h>
using namespace std;
int main() {
  int t;
  cin >> t;
  while (t--) {
    int n, m;
    cin >> n >> m;
    int arr[n];
    int arr1[m];
    for (int i = 0; i < n; i++) {
      cin >> arr[i];
    }
    for (int i = 0; i < m; i++) {
      cin >> arr1[i];
    }
    int num = -1;
    for (int i = 0; i < n; i++) {
      for (int j = 0; j < m; j++) {
        if (arr[i] == arr1[j]) {
          num = arr[i];
          break;
        }
      }
    }
    if (num != -1) {
      cout << ""YES"" << endl;
      cout << ""1 "" << num << endl;
    } else
      cout << ""NO"" << endl;
  }
}"
2_219_A._k-String_human,2_219_A._k-String,219_A. k-String,human,0,1,-0.14713570475578308,-0.14713570475578308,-0.18,30,346,"#include <bits/stdc++.h>
using namespace std;
int main() {
  int n;
  cin >> n;
  string s;
  cin >> s;
  int ara[26];
  for (int i = 0; i < 26; i++) {
    ara[i] = 0;
  }
  for (int i = 0, len = s.length(); i < len; i++) {
    ara[s[i] - 'a']++;
  }
  for (int i = 0; i < 26; i++) {
    if (ara[i] % n != 0) {
      printf(""-1"");
      return 0;
    }
    ara[i] /= n;
  }
  for (int k = 0; k < n; k++) {
    for (int i = 0; i < 26; i++) {
      for (int j = 0; j < ara[i]; j++) {
        printf(""%c"", i + 'a');
      }
    }
  }
  printf(""\n"");
}"
2_268_A._Games_human,2_268_A._Games,268_A. Games,human,0,1,-0.14651378989219666,-0.14651378989219666,-0.18,21,253,"#include <bits/stdc++.h>
using namespace std;
int main() {
  int home[30];
  int away[30];
  int n;
  cin >> n;
  for (int i = 0; i < n; i++) {
    cin >> home[i];
    cin >> away[i];
  }
  int cnt = 0;
  for (int i = 0; i < n; i++) {
    for (int j = 0; j < n; j++) {
      if (i == j) continue;
      if (home[i] == away[j]) cnt++;
    }
  }
  cout << cnt << '\n';
  return 0;
}"
2_754_B._Ilya_and_tic-tac-toe_game_human,2_754_B._Ilya_and_tic-tac-toe_game,754_B. Ilya and tic-tac-toe game,human,0,1,-0.061655040830373764,-0.061655040830373764,-0.18,70,1682,"#include <bits/stdc++.h>
using namespace std;
char board[4][4];
bool Valid(int x, int y) { return (x >= 0 && x < 4 && y >= 0 && y < 4); }
int main() {
  std::ios::sync_with_stdio(false);
  for (int i = 0; i < 4; ++i) {
    for (int j = 0; j < 4; ++j) {
      cin >> board[i][j];
    }
  }
  bool valid = false;
  for (int i = 0; i < 4; ++i) {
    for (int j = 0; j < 4; ++j) {
      if (board[i][j] == 'x') {
        if (Valid(i - 1, j) && board[i - 1][j] == 'x' && Valid(i - 2, j) &&
                board[i - 2][j] == '.' ||
            Valid(i - 1, j) && board[i - 1][j] == '.' && Valid(i - 2, j) &&
                board[i - 2][j] == 'x') {
          valid = true;
          break;
        } else if (Valid(i + 1, j) && board[i + 1][j] == 'x' &&
                       Valid(i + 2, j) && board[i + 2][j] == '.' ||
                   Valid(i + 1, j) && board[i + 1][j] == '.' &&
                       Valid(i + 2, j) && board[i + 2][j] == 'x') {
          valid = true;
          break;
        } else if (Valid(i, j - 1) && board[i][j - 1] == 'x' &&
                       Valid(i, j - 2) && board[i][j - 2] == '.' ||
                   Valid(i, j - 1) && board[i][j - 1] == '.' &&
                       Valid(i, j - 2) && board[i][j - 2] == 'x') {
          valid = true;
          break;
        } else if (Valid(i, j + 1) && board[i][j + 1] == 'x' &&
                       Valid(i, j + 2) && board[i][j + 2] == '.' ||
                   Valid(i, j + 1) && board[i][j + 1] == '.' &&
                       Valid(i, j + 2) && board[i][j + 2] == 'x') {
          valid = true;
          break;
        } else if (Valid(i + 1, j + 1) && board[i + 1][j + 1] == 'x' &&
                       Valid(i + 2, j + 2) && board[i + 2][j + 2] == '.' ||
                   Valid(i + 1, j + 1) && board[i + 1][j + 1] == '.' &&
                       Valid(i + 2, j + 2) && board[i + 2][j + 2] == 'x') {
          valid = true;
          break;
        } else if (Valid(i - 1, j - 1) && board[i - 1][j - 1] == 'x' &&
                       Valid(i - 2, j - 2) && board[i - 2][j - 2] == '.' ||
                   Valid(i - 1, j - 1) && board[i - 1][j - 1] == '.' &&
                       Valid(i - 2, j - 2) && board[i - 2][j - 2] == 'x') {
          valid = true;
          break;
        } else if (Valid(i - 1, j + 1) && board[i - 1][j + 1] == 'x' &&
                       Valid(i - 2, j + 2) && board[i - 2][j + 2] == '.' ||
                   Valid(i - 1, j + 1) && board[i - 1][j + 1] == '.' &&
                       Valid(i - 2, j + 2) && board[i - 2][j + 2] == 'x') {
          valid = true;
          break;
        } else if (Valid(i + 1, j - 1) && board[i + 1][j - 1] == 'x' &&
                       Valid(i + 2, j - 2) && board[i + 2][j - 2] == '.' ||
                   Valid(i + 1, j - 1) && board[i + 1][j - 1] == '.' &&
                       Valid(i + 2, j - 2) && board[i + 2][j - 2] == 'x') {
          valid = true;
          break;
        }
      }
    }
  }
  (valid) ? cout << ""YES\n"" : cout << ""NO\n"";
  return 0;
}"
2_609_B._The_Best_Gift_human,2_609_B._The_Best_Gift,609_B. The Best Gift,human,0,1,-0.13884887099266052,-0.13884887099266052,-0.18,21,257,"#include <bits/stdc++.h>
using namespace std;
int a[15];
int main() {
  int n, m;
  scanf(""%d%d"", &n, &m);
  memset(a, 0, sizeof a);
  for (int i = 1; i <= n; i++) {
    int x;
    scanf(""%d"", &x);
    a[x]++;
  }
  int ans = 0;
  for (int i = 1; i <= m; i++) {
    for (int j = i + 1; j <= m; j++) {
      ans = ans + a[i] * a[j];
    }
  }
  printf(""%d\n"", ans);
  return 0;
}"
2_656_E._Out_of_Controls_human,2_656_E._Out_of_Controls,656_E. Out of Controls,human,0,1,-0.17122700810432434,-0.17122700810432434,-0.18,23,420,"#include <bits/stdc++.h>
using namespace std;
int main() {
  int maxn = 999999999;
  int m[105][105];
  int n;
  cin >> n;
  for (int i = 0; i < n; i++)
    for (int j = 0; j < n; j++) m[i][j] = maxn;
  for (int i = 0; i < n; i++)
    for (int j = 0; j < n; j++) cin >> m[i][j];
  for (int k = 0; k < n; k++)
    for (int i = 0; i < n; i++)
      for (int j = 0; j < n; j++) {
        if (m[i][j] > m[i][k] + m[k][j]) m[i][j] = m[i][k] + m[k][j];
      }
  int ans = 0;
  for (int i = 0; i < n; i++)
    for (int j = 0; j < n; j++)
      if (m[i][j] < maxn) ans = max(ans, m[i][j]);
  printf(""%d\n"", ans);
  return 0;
}"
2_1408_A._Circle_Coloring_human,2_1408_A._Circle_Coloring,1408_A. Circle Coloring,human,0,1,-0.16886255145072937,-0.16886255145072937,-0.18,95,1453,"#include <bits/stdc++.h>
using namespace std;
const long long MOD = 1000000007;
void solve();
int main() {
  ios_base::sync_with_stdio(false);
  cin.tie(NULL);
  long long t;
  cin >> t;
  while (t--) {
    solve();
    cout << ""\n"";
  }
  cerr << ""time taken : "" << (float)clock() / CLOCKS_PER_SEC << "" secs"" << endl;
  return 0;
}
long long ceils(long long x, long long y) { return x / y + ((x % y) != 0); }
long long gcd(long long a, long long b) {
  if (b == 0)
    return a;
  else
    return gcd(b, a % b);
}
long long lcm(long long a, long long b) { return a / gcd(a, b) * b; }
void solve() {
  long long n;
  cin >> n;
  long long a[n], b[n], c[n];
  for (long long i = 0; i < n; i++) cin >> a[i];
  for (long long i = 0; i < n; i++) cin >> b[i];
  for (long long i = 0; i < n; i++) cin >> c[i];
  long long ans[n];
  ans[0] = a[0];
  for (long long i = 1; i < n; i++) {
    ans[i] = a[i];
    if (ans[i] == ans[i - 1]) ans[i] = b[i];
    if (ans[i] == ans[i - 1]) ans[i] = c[i];
  }
  long long ok = 0;
  for (long long i = 1; i < n; i++) {
    if (ans[i] == ans[i - 1]) {
      ok = 1;
      break;
    }
  }
  if (ok) {
    ans[0] = b[0];
    for (long long i = 1; i < n; i++) {
      ans[i] = b[i];
      if (ans[i] == ans[i - 1]) ans[i] = a[i];
      if (ans[i] == ans[i - 1]) ans[i] = c[i];
    }
    ok = 0;
    for (long long i = 1; i < n; i++) {
      if (ans[i] == ans[i - 1]) {
        ok = 1;
        break;
      }
    }
  }
  if (ok) {
    ans[0] = c[0];
    for (long long i = 1; i < n; i++) {
      ans[i] = c[i];
      if (ans[i] == ans[i - 1]) ans[i] = a[i];
      if (ans[i] == ans[i - 1]) ans[i] = b[i];
    }
    ok = 0;
    for (long long i = 1; i < n; i++) {
      if (ans[i] == ans[i - 1]) {
        ok = 1;
        break;
      }
    }
  }
  if (ans[n - 1] == ans[0]) {
    if (ans[n - 1] == a[n - 1]) {
      if (ans[n - 2] == b[n - 1])
        ans[n - 1] = c[n - 1];
      else
        ans[n - 1] = b[n - 1];
    } else if (ans[n - 1] == b[n - 1]) {
      if (ans[n - 2] == a[n - 1])
        ans[n - 1] = c[n - 1];
      else
        ans[n - 1] = a[n - 1];
    } else {
      if (ans[n - 2] == b[n - 1])
        ans[n - 1] = a[n - 1];
      else
        ans[n - 1] = b[n - 1];
    }
  }
  for (long long i = 0; i < n; i++) cout << ans[i] << "" "";
}"
2_438_A._The_Child_and_Toy_human,2_438_A._The_Child_and_Toy,438_A. The Child and Toy,human,0,1,-0.16208991408348083,-0.16208991408348083,-0.18,37,608,"#include <bits/stdc++.h>
using namespace std;
const int MAXN = 1005;
int cost[MAXN];
char used[MAXN];
vector<int> g[MAXN];
int main() {
  ios_base::sync_with_stdio(false);
  int n, m;
  cin >> n >> m;
  for (int i = 0; i < n; i++) cin >> cost[i];
  for (int i = 0; i < m; i++) {
    int x, y;
    cin >> x >> y;
    x--;
    y--;
    g[x].push_back(y);
    g[y].push_back(x);
  }
  int ans = 0;
  for (int i = 0; i < n; i++) {
    int maxv = -1;
    for (int j = 0; j < n; j++)
      if (!used[j] && (maxv == -1 || cost[j] > cost[maxv])) maxv = j;
    for (size_t j = 0; j < g[maxv].size(); j++) ans += cost[g[maxv][j]];
    used[maxv] = true;
    for (int j = 0; j < n; j++)
      for (int k = 0; k < (int)g[j].size(); k++)
        if (g[j][k] == maxv) {
          swap(g[j][k], g[j].back());
          g[j].pop_back();
          k--;
        }
  }
  cout << ans << '\n';
  return 0;
}"
