task_id,problem_id,title,language,ai_model,sample_id,variant,label,code
2_1012_E._Cycle_sort,2_1012_E._Cycle_sort,1012_E. Cycle sort,cpp,Qwen/Qwen2.5-Coder-0.5B-Instruct,2_1012_E._Cycle_sort_human,human,0,"#include <bits/stdc++.h>
using namespace std;
const int MAXN = 300000;
map<int, int> mapa;
map<pair<int, int>, vector<int>> pos;
vector<int> g[MAXN];
int ptr[MAXN];
int used[MAXN];
void euler(int v, vector<int> &res) {
  used[v] = true;
  for (; ptr[v] < (int)(g[v]).size();) {
    ++ptr[v];
    int u = g[v][ptr[v] - 1];
    euler(u, res);
    res.push_back(u);
  }
}
int main() {
  ios_base::sync_with_stdio(false);
  cin.tie(0);
  int n, s;
  cin >> n >> s;
  int k = 0;
  vector<int> a(n);
  for (int i = 0; i < n; ++i) {
    cin >> a[i];
  }
  vector<int> b = a;
  sort((b).begin(), (b).end());
  int m = 0;
  for (int i = 0; i < n; ++i) {
    if (a[i] == b[i]) {
      continue;
    }
    ++m;
    if (!mapa.count(b[i])) {
      mapa[b[i]] = k++;
    }
  }
  if (m > s) {
    cout << -1 << endl;
    return 0;
  }
  for (int i = 0; i < n; ++i) {
    if (a[i] == b[i]) {
      continue;
    }
    a[i] = mapa[a[i]];
    b[i] = mapa[b[i]];
    g[b[i]].push_back(a[i]);
    pos[{b[i], a[i]}].push_back(i);
  }
  vector<vector<int>> cycles;
  for (int i = 0; i < k; ++i) {
    if (!used[i]) {
      vector<int> arr;
      euler(i, arr);
      reverse((arr).begin(), (arr).end());
      cycles.push_back({});
      for (int i = 0; i < (int)(arr).size(); ++i) {
        int j = (i + 1) % (int)(arr).size();
        cycles.back().push_back(pos[{arr[i], arr[j]}].back());
        pos[{arr[i], arr[j]}].pop_back();
      }
    }
  }
  vector<vector<int>> res;
  if (s - m > 1 && (int)(cycles).size() > 1) {
    int len = min((int)(cycles).size(), s - m);
    res.push_back({});
    vector<int> newcycle;
    for (int i = (int)(cycles).size() - len; i < (int)(cycles).size(); ++i) {
      res.back().push_back(cycles[i].back());
      for (int j : cycles[i]) {
        newcycle.push_back(j);
      }
    }
    reverse((res.back()).begin(), (res.back()).end());
    for (int i = 0; i < len; ++i) {
      cycles.pop_back();
    }
    cycles.push_back(newcycle);
  }
  for (int i = 0; i < (int)(cycles).size(); ++i) {
    res.push_back(cycles[i]);
  }
  cout << (int)(res).size() << endl;
  for (int i = 0; i < (int)(res).size(); ++i) {
    cout << (int)(res[i]).size() << endl;
    for (int j : res[i]) {
      cout << j + 1 << "" "";
    }
    cout << endl;
  }
}"
2_1012_E._Cycle_sort,2_1012_E._Cycle_sort,1012_E. Cycle sort,cpp,Qwen/Qwen2.5-Coder-0.5B-Instruct,2_1012_E._Cycle_sort_ai,ai,1,"#include <bits/stdc++.h>
using namespace std;

int main() {
    int n, s;
    cin >> n >> s;
    vector<int> a(n);
    for (int i = 0; i < n; ++i) cin >> a[i];

    // Function to check if we can sort the array with the given constraints
    bool canSort(vector<int>& a, int s) {
        int cycleLengths[2 * n];
        int cycleCount = 0;
        for (int i = 0; i < n; ++i) {
            int index = a[i];
            while (index != i) {
                cycleLengths[cycleCount++] = index;
                index = a[index];
            }
        }

        // Check if the sum of cycle lengths exceeds s
        int totalCycleLength = 0;
        for (int i = 0; i < 2 * n; ++i) {
            totalCycleLength += cycleLengths[i];
        }
        if (totalCycleLength > s) return false;

        // Sort the array using the minimum number of operations
        sort(a.begin(), a.end());

        // Check if the array is sorted after applying the operations
        for (int i = 0; i < n; ++i) {
            if (a[i] != i + 1) return false;
        }

        return true;
    }

    int q;
    cin >> q;
    for (int i = 0; i < q; ++i) {
        int cycleLength;
        cin >> cycleLength;
        vector<int> cycle(cycleLength);
        for (int j = 0; j < cycleLength; ++j) cin >> cycle[j];

        // Apply the operations
        for (int i = 0; i < cycleLength; ++i) {
            int index = cycle[i];
            while (index != i) {
                swap(a[index], a[index - 1]);
                index = a[index - 1];
            }
        }

        // Print the result
        cout << (canSort(a, s) ? ""1"" : ""-1"") << endl;
    }

    return 0;
}"
2_1037_E._Trips,2_1037_E._Trips,1037_E. Trips,cpp,Qwen/Qwen2.5-Coder-0.5B-Instruct,2_1037_E._Trips_human,human,0,"#include <bits/stdc++.h>
using namespace std;
const int module = 1000000007;
int main() {
  ios_base::sync_with_stdio(false);
  cin.tie(0);
  cout.tie(0);
  int n, m, k;
  cin >> n >> m >> k;
  vector<set<int>> to(n, set<int>());
  vector<pair<int, int>> edges(m);
  vector<int> nbr(n);
  for (int i = 0; i < m; ++i) {
    int a, b;
    cin >> a >> b;
    a--;
    b--;
    nbr[a]++;
    nbr[b]++;
    to[a].insert(b);
    to[b].insert(a);
    edges[i] = {a, b};
  }
  vector<bool> vis(n);
  int all = n;
  for (int i = 0; i < n; ++i) {
    if (!vis[i]) {
      if (nbr[i] < k) {
        queue<int> q;
        q.push(i);
        vis[i] = true;
        all--;
        while (!q.empty()) {
          int cur = q.front();
          q.pop();
          for (int t : to[cur]) {
            nbr[t]--;
            to[t].erase(cur);
            if (nbr[t] < k && !vis[t]) {
              q.push(t);
              vis[t] = true;
              all--;
            }
          }
        }
      }
    }
  }
  queue<int> q;
  vector<int> answer;
  answer.push_back(all);
  for (int i = m - 1; i > 0; i--) {
    auto [a, b] = edges[i];
    if (!vis[a] && !vis[b]) {
      to[a].erase(b);
      to[b].erase(a);
      nbr[a]--;
      nbr[b]--;
      if (nbr[a] < k) {
        q.push(a);
        vis[a] = true;
        all--;
      }
      if (nbr[b] < k) {
        q.push(b);
        vis[b] = true;
        all--;
      }
      while (!q.empty()) {
        int cur = q.front();
        q.pop();
        for (int t : to[cur]) {
          nbr[t]--;
          to[t].erase(cur);
          if (nbr[t] < k && !vis[t]) {
            q.push(t);
            vis[t] = true;
            all--;
          }
        }
      }
    }
    answer.push_back(all);
  }
  for (int i = answer.size() - 1; i >= 0; i--) {
    cout << answer[i] << ""\n"";
  }
}"
2_1037_E._Trips,2_1037_E._Trips,1037_E. Trips,cpp,Qwen/Qwen2.5-Coder-0.5B-Instruct,2_1037_E._Trips_ai,ai,1,"#include <iostream>
#include <vector>
#include <algorithm>

int main() {
    int n, m, k;
    std::cin >> n >> m >> k;

    std::vector<std::vector<int>> graph(n);
    for (int i = 0; i < m; ++i) {
        int x, y;
        std::cin >> x >> y;
        graph[x].push_back(y);
        graph[y].push_back(x);
    }

    std::vector<int> dp(n, 0);
    dp[0] = 1;

    for (int i = 1; i < n; ++i) {
        for (int j = 0; j < n; ++j) {
            if (graph[i][j] && dp[j] > 0) {
                dp[i] += dp[j];
            }
        }
    }

    for (int i = 0; i < m; ++i) {
        std::cout << dp[i] << "" "";
    }
    std::cout << std::endl;

    return 0;
}"
2_1060_A._Phone_Numbers,2_1060_A._Phone_Numbers,1060_A. Phone Numbers,cpp,Qwen/Qwen2.5-Coder-0.5B-Instruct,2_1060_A._Phone_Numbers_human,human,0,"#include <bits/stdc++.h>
using namespace std;
const int INF = 0x3f3f3f3f;
const long long int LINF = 0x3f3f3f3f3f3f3f3fll;
int t, n, a, b, cnt1, cnt2;
string s;
int main() {
  cin >> n;
  cin >> s;
  cnt1 = n / 11;
  for (int i = 0; i < s.size(); i++) {
    if (s[i] == '8') cnt2++;
  }
  cout << min(cnt1, cnt2) << endl;
  return 0;
}"
2_1060_A._Phone_Numbers,2_1060_A._Phone_Numbers,1060_A. Phone Numbers,cpp,Qwen/Qwen2.5-Coder-0.5B-Instruct,2_1060_A._Phone_Numbers_ai,ai,1,"#include <iostream>
#include <string>
using namespace std;

int main() {
    int n;
    cin >> n;
    string s;
    cin >> s;

    // Check if the string is valid
    if (s.length() != 11 || !isdigit(s[0]) || !isdigit(s[1]) || !isdigit(s[2]) || !isdigit(s[3]) || !isdigit(s[4]) || !isdigit(s[5]) || !isdigit(s[6]) || !isdigit(s[7]) || !isdigit(s[8]) || !isdigit(s[9]) || !isdigit(s[10])) {
        cout << 0;
        return 0;
    }

    // Count the number of valid phone numbers
    int count = 0;
    for (int i = 0; i < n; ++i) {
        if (s[i] == '8') {
            count++;
        }
    }

    // Output the result
    cout << count;

    return 0;
}"
2_1081_G._Mergesort_Strikes_Back,2_1081_G._Mergesort_Strikes_Back,1081_G. Mergesort Strikes Back,cpp,Qwen/Qwen2.5-Coder-0.5B-Instruct,2_1081_G._Mergesort_Strikes_Back_human,human,0,"#include <bits/stdc++.h>
const int MAXN = 1e5 + 20;
int n, k, M;
int inv[MAXN], pre_inv[MAXN];
void math_pre() {
  inv[1] = 1;
  for (int i = 2; i <= ((n < 4) ? 4 : n); ++i)
    inv[i] = 1ll * (M - M / i) * inv[M % i] % M;
  for (int i = 1; i <= n; ++i) pre_inv[i] = (pre_inv[i - 1] + inv[i]) % M;
}
struct map {
  static const int MAXMap = 2;
  int tot;
  struct pad {
    int key, val;
    pad() {}
    pad(const int &KEY, const int &VAL) : key(KEY), val(VAL) {}
  } node[MAXMap + 1];
  map() { tot = 0; }
  pad *find(const int &key) {
    pad *ret = node;
    while (ret - node < tot && ret->key != key) ++ret;
    return ret;
  }
  void insert(const pad &new_element) { node[tot++] = new_element; }
  pad *begin() { return &node[0]; }
  pad *end() { return &node[tot]; }
} Map;
void solve(const int &l, const int &r, const int &h) {
  if (l >= r || h <= 1) {
    int len = r - l + 1;
    map::pad *it = Map.find(len);
    if (it == Map.end())
      Map.insert(map::pad(len, 1));
    else
      ++it->val;
    return;
  }
  int mid = (l + r) >> 1;
  solve(l, mid, h - 1), solve(mid + 1, r, h - 1);
}
int calc(const int &len1, const int &len2) {
  int ret = 0;
  for (int i = 1; i <= len1; ++i)
    ret = ((ret + 1ll * inv[2] * len2 % M -
            (pre_inv[i + len2] - pre_inv[i + 1 - 1])) %
               M +
           M) %
          M;
  return ret;
}
int main() {
  scanf(""%d%d%d"", &n, &k, &M);
  math_pre();
  solve(1, n, k);
  int ans = 0;
  for (map::pad *it = Map.begin(); it != Map.end(); ++it) {
    int len = it->key, cnt = it->val;
    ans = (ans + 1ll * cnt * len % M * (len - 1) % M * inv[4] % M) % M;
  }
  for (map::pad *it1 = Map.begin(); it1 != Map.end(); ++it1)
    for (map::pad *it2 = Map.begin(); it2 != Map.end(); ++it2) {
      if (it1 == it2) {
        int len = it1->key, cnt = 1ll * (0 + (it1->val - 1)) * it1->val / 2 % M;
        ans = (ans + 1ll * cnt * calc(len, len) % M) % M;
      } else if (it1->key < it2->key) {
        int len1 = it1->key, len2 = it2->key,
            cnt = 1ll * it1->val * it2->val % M;
        ans = (ans + 1ll * cnt * calc(len1, len2) % M) % M;
      }
    }
  printf(""%d"", ans);
}"
2_1081_G._Mergesort_Strikes_Back,2_1081_G._Mergesort_Strikes_Back,1081_G. Mergesort Strikes Back,cpp,Qwen/Qwen2.5-Coder-0.5B-Instruct,2_1081_G._Mergesort_Strikes_Back_ai,ai,1,"#include <bits/stdc++.h>
using namespace std;

int mergeSort(int arr[], int l, int r, int k) {
    if (l == r) return 0;
    int mid = l + (r - l) / 2;
    int inversions = mergeSort(arr, l, mid, k);
    inversions += mergeSort(arr, mid + 1, r, k);
    inversions += merge(arr, l, mid, k);
    inversions += merge(arr, mid + 1, r, k);
    return inversions;
}

int main() {
    int n, k, q;
    cin >> n >> k >> q;
    int arr[n];
    for (int i = 0; i < n; ++i) cin >> arr[i];
    int result = mergeSort(arr, 0, n - 1, k);
    cout << result << endl;
    return 0;
}"
2_1101_A._Minimum_Integer,2_1101_A._Minimum_Integer,1101_A. Minimum Integer,cpp,Qwen/Qwen2.5-Coder-0.5B-Instruct,2_1101_A._Minimum_Integer_human,human,0,"#include <bits/stdc++.h>
using namespace std;
long long f[1000001];
long long pow(long long a, long long b, long long MOD) {
  long long x = 1, y = a;
  while (b > 0) {
    if (b % 2 == 1) {
      x = (x * y);
      if (x > MOD) x %= MOD;
    }
    y = (y * y);
    if (y > MOD) y %= MOD;
    b /= 2;
  }
  return x;
}
long long InverseEuler(long long n, long long MOD) {
  return pow(n, MOD - 2, MOD);
}
long long C(long long n, long long r, long long MOD) {
  return (f[n] *
          ((InverseEuler(f[r], MOD) * InverseEuler(f[n - r], MOD)) % MOD)) %
         MOD;
}
int main() {
  int q;
  cin >> q;
  while (q--) {
    long long l, r, d;
    cin >> l >> r >> d;
    long long ans1 = d;
    long long y = r / d;
    long long ans2 = (y + 1) * d;
    if (d >= l)
      cout << ans2 << endl;
    else
      cout << ans1 << endl;
  }
}"
2_1101_A._Minimum_Integer,2_1101_A._Minimum_Integer,1101_A. Minimum Integer,cpp,Qwen/Qwen2.5-Coder-0.5B-Instruct,2_1101_A._Minimum_Integer_ai,ai,1,"#include <bits/stdc++.h>
using namespace std;

int main() {
    ios::sync_with_stdio(false);
    cin.tie(NULL);

    int q;
    cin >> q;

    while(q--) {
        int l, r, d;
        cin >> l >> r >> d;

        int ans = (l - 1) % d + 1;
        cout << ans << endl;
    }

    return 0;
}"
